,Variable,Type,Description
1,GENDER_CD,Char,Gender code
2,EDUCATION_CD,Char,Education code
3,OCCUPATION_CAT_CD,Char,Standard occupation Code
4,SUBS_TENURE,Num,Tenure on network
5,OB_CALL_INTL_DUR_BASE_1,Num,Duration of international calls in base  1 month
6,OB_CALL_INTL_DUR_BASE_2,Num,Duration of international calls in base 2 month
7,OB_CALL_INTL_DUR_BASE_3,Num,Duration of international calls in base 3 month
8,OB_CALL_INTL_DUR_BASE_4,Num,Duration of international calls in base 4 month
9,OB_CALL_INTL_DUR_BASE_5,Num,Duration of international calls in base 5 month
10,OB_CALL_INTL_DUR_BASE_6,Num,Duration of international calls in base 6 month
11,OB_CALL_NAT_ROAM_CNT_BASE_1,Num,Duration of roaming calls in base 1 month
12,OB_CALL_NAT_ROAM_CNT_BASE_2,Num,Duration of roaming calls in base 2 month
13,OB_CALL_NAT_ROAM_CNT_BASE_3,Num,Duration of roaming calls in base 3 month
14,OB_CALL_NAT_ROAM_CNT_BASE_4,Num,Duration of roaming calls in base 4 month
15,OB_CALL_NAT_ROAM_CNT_BASE_5,Num,Duration of roaming calls in base 5 month
16,OB_CALL_NAT_ROAM_CNT_BASE_6,Num,Duration of roaming calls in base 6 month
17,OB_CALL_LOC_DUR_BASE_1,Num,Duration of local calls in base 1 month
18,OB_CALL_LOC_DUR_BASE_2,Num,Duration of local calls in base 2 month
19,OB_CALL_LOC_DUR_BASE_3,Num,Duration of local calls in base 3 month
20,OB_CALL_LOC_DUR_BASE_4,Num,Duration of local calls in base 4 month
21,OB_CALL_LOC_DUR_BASE_5,Num,Duration of local calls in base 5 month
22,OB_CALL_LOC_DUR_BASE_6,Num,Duration of local calls in base 6 month
23,OB_CALL_NAT_DUR_BASE_1,Num,Duration of national calls in base 1 month
24,OB_CALL_NAT_DUR_BASE_2,Num,Duration of national calls in base 2 month
25,OB_CALL_NAT_DUR_BASE_3,Num,Duration of national calls in base 3 month
26,OB_CALL_NAT_DUR_BASE_4,Num,Duration of national calls in base 4 month
27,OB_CALL_NAT_DUR_BASE_5,Num,Duration of national calls in base 5 month
28,OB_CALL_NAT_DUR_BASE_6,Num,Duration of national calls in base 6 month
29,TOT_CALL_INTL_ROAM_DUR,Num,Total duration of international roaming calls over 6 months
30,TOT_OB_CALL_INTL_DUR,Num,Total  duration of international calls over 6 months
31,TOT_OB_CALL_LOC_DUR,Num,Total duration of local calls over 6 months
